City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2136150,Luganville,VU,-15.5333,167.1667,78.64,86,36,5.01
2122605,Okhotsk,RU,59.3833,143.3,0.88,75,0,18.39
1847947,Shingū,JP,33.7333,135.9833,68.99,82,83,15.55
5964347,Grande Prairie,CA,55.1667,-118.8027,23.18,93,90,5.75
100926,Umluj,SA,25.0213,37.2685,86.54,36,0,10.74
2063039,Port Keats,AU,-14.25,129.55,85.26,68,57,7.49
3166350,Sorrento,IT,40.626,14.3744,62.29,3,100,4.99
3428068,San Vicente,AR,-26.6167,-54.1333,62.4,95,52,1.52
236901,Ouadda,CF,8.0777,22.4007,90.61,39,95,2.64
3530599,Ciudad del Carmen,MX,18.6333,-91.8333,72.52,80,5,3.83
4891382,Evanston,US,42.0411,-87.6901,49.14,71,1,3.0
3441890,Departamento de Maldonado,UY,-34.6667,-54.9167,56.59,80,2,3.58
4017152,Benjamín Hill,MX,30.1667,-111.1,58.17,33,100,5.01
2512186,Puerto del Rosario,ES,28.5004,-13.8627,69.55,60,20,14.97
3372964,Lagoa,PT,39.05,-27.9833,67.96,84,84,15.12
3663529,Manacapuru,BR,-3.2997,-60.6206,75.78,92,100,3.31
80509,Al Bardīyah,LY,31.7561,25.0865,71.94,61,56,6.55
2212775,Sabha,LY,27.0377,14.4283,79.3,20,100,14.47
737021,Zonguldak,TR,41.25,31.8333,68.85,32,13,2.62
2020838,Lensk,RU,60.7253,114.9278,30.36,94,100,11.39
3723779,Jacmel,HT,18.2342,-72.5347,75.47,81,64,3.24
1801669,Luyang,CN,27.6239,110.0989,49.42,63,22,3.47
1642773,Japura,ID,-0.3167,102.35,83.79,75,98,2.42
780687,Berlevåg,NO,70.8578,29.0864,30.15,69,75,21.85
2449066,Tombouctou,ML,20.0,-3.0,82.85,15,39,13.18
878054,Masuguru,TZ,-11.3667,38.4167,102.4,17,42,4.52
4392354,Jasper,US,37.2001,-94.3502,52.32,70,1,5.99
5478673,Meadow Lake,US,34.8014,-106.5436,52.09,33,52,5.08
2441447,Maïné Soroa,NE,13.2114,12.0241,93.88,12,2,12.62
